User.Name|MixedDrink.Name|Rating
Adelle Cobos  |Raging Dancer|2
Adelle Cobos  |Blueberry Vanilla Raspberry|1
Adelle Cobos  |Positive Lunacy Shandy|1
Adrian Riva  |Raging Dancer|3
Adrian Riva  |Godlike Bodyguard's Moonrise|5
Adrian Riva  |Low Peppermint Voice|3
Albert Millan  |Ancient Mead Potion|4
Albert Millan  |Cartographer's Sunset|4
Albert Millan  |Furious Tea|5
Alicia Bash  |Champion's Hack|1
Alicia Bash  |Nectarine Brew|1
Alicia Bash  |Holy Garnet Pit|4
Alison Annis  |Mint Grape Destiny|4
Alison Annis  |Insane Cognac Twister|2
Alison Annis  |Random Liquer Margarita|4
Alita Steppe  |Infinite Sunrise Creation|0
Alita Steppe  |Positive Gigolo's Creation|5
Alita Steppe  |Astounding Magical Passion|4
Altha Slifer  |Infinite Witty Mix|5
Altha Slifer  |Amazing Annihilation Creation|0
Altha Slifer  |Peach Elixir|5
Alyce Plascencia  |Infinite River Past|0
Alyce Plascencia  |Absolute Alabaster Nectarine|2
Alyce Plascencia  |Raspberry Brew|3
Andree Sherrell  |Vengeance Shake|1
Andree Sherrell  |Devilish Lemon Voice|4
Andree Sherrell  |Honorable Spring|5
Angie Norby  |Infamous Modest Shot|2
Angie Norby  |Fatal Ruby Plan|0
Angie Norby  |Evil Plum|4
Anglea Seibert  |Blessed Decadent Tea|0
Anglea Seibert  |Plum Blend|3
Anglea Seibert  |Blessed Arctic Slice|5
Anita Farris  |Infinite Red Herbologist|3
Anita Farris  |Low Peppermint Voice|1
Anita Farris  |Positive Carmel Smut|3
Antony Elsen  |Hateful Twister|5
Antony Elsen  |Hazelnut Imagining|1
Antony Elsen  |Insane Hack Spring|2
April Dutil  |Fatal Liquour Cocoa|1
April Dutil  |Buster Lightning|2
April Dutil  |Furious Tea|4
Asa Casselman  |Peppermint Insanity|5
Asa Casselman  |Random Liquer Margarita|2
Asa Casselman  |Blessed Fat Rogue|0
Ashlie Walther  |Redemption Tea|1
Ashlie Walther  |Regal Smuggler|3
Ashlie Walther  |Positive Carmel Smut|2
Aurelio Mulder  |Final Desert Outlaw|0
Aurelio Mulder  |Raspberry Brew|4
Aurelio Mulder  |Amazing Jade Strength|1
Avelina Gordan  |Island Harlot|2
Avelina Gordan  |Vanilla Tart Sword|3
Avelina Gordan  |Final Chocolate Trousers|1
Ayesha Davalos  |Fatal Lemon Gate|2
Ayesha Davalos  |Bartender's Autumn|2
Ayesha Davalos  |Blessed Compassionate Thunder|5
Bert Beer  |Modest Diamond Armorer|2
Bert Beer  |Elemental Passionate Moonset|5
Bert Beer  |Island Smuggler|2
Bradly Casimir  |Godlike Bodyguard's Moonrise|2
Bradly Casimir  |Island Harlot|1
Bradly Casimir  |Infinite Coral Trap|4
Brain Rudasill  |Furious Far|0
Brain Rudasill  |Fatal Lemon Gate|1
Brain Rudasill  |Godlike Joy Martini|2
Brent Yerian  |Blessed Decadent Tea|5
Brent Yerian  |Legendary Tea Shandy|3
Brent Yerian  |Island Shaman|5
Britt Costilla  |Coconut Chocolate Slap|0
Britt Costilla  |Devilish Brandy Margarita|0
Britt Costilla  |Furious Far|0
Bryan Mccullah  |Insane Hack Spring|0
Bryan Mccullah  |Foul Storm|2
Bryan Mccullah  |Final Chocolate Trousers|3
Caleb Hankey  |Hazelnut Grape Stab|4
Caleb Hankey  |Disgusting Squirt|3
Caleb Hankey  |Coconut Chocolate Slap|4
Calvin Strother  |Insane Beastmaster|3
Calvin Strother  |Foul Twisted Candle|5
Calvin Strother  |Buster Lightning|5
Candyce Bloss  |Astounding Whore's Ecstacy|4
Candyce Bloss  |Redemption Tea|1
Candyce Bloss  |Hazelnut Grape Stab|3
Caren Zuckerman  |Modest Sexual Priest|4
Caren Zuckerman  |Amazing Sapphire Rain|5
Caren Zuckerman  |Blessed Sour Shake|1
Carlie Casteel  |Final Courageous Orange|2
Carlie Casteel  |Infamous Modest Seer|4
Carlie Casteel  |Thief's Chaos|3
Cathrine Marra  |Infamous Chocolate Greatness|1
Cathrine Marra  |Fall Musician|2
Cathrine Marra  |Holy Thunder Armageddon|0
Cedrick Dowdy  |Blessed Fat Rogue|5
Cedrick Dowdy  |Vanilla Tart Sword|5
Cedrick Dowdy  |Peach Plum Blend|2
Cesar Lansford  |Amazing Annihilation Creation|1
Cesar Lansford  |Doomed Martini|0
Cesar Lansford  |Obvious Insane Scream|5
Chun Alberico  |Doomed Martini|5
Chun Alberico  |Mint Grape Destiny|2
Chun Alberico  |Absolute Mystic Lantern|0
Clark Dotson  |Insane Beastmaster|4
Clark Dotson  |Absolute Milk Tea|0
Clark Dotson  |Positive Brown Plot|4
Claud Frias  |Blessed Sour Shake|1
Claud Frias  |Peach Plum Blend|0
Claud Frias  |Sour Lightning|4
