Name,Drink_Name,Rating
Julia Sutula,Blueberry Vanilla Raspberry,3
Julia Sutula,Blueberry Vanilla Raspberry,3
Julia Sutula,Champion's Hack,3
Julia Sutula,Compassionate Rain,2
Julia Sutula,Devilish Brandy Margarita,5
Julia Sutula,Drunken Blend,4
Julia Sutula,Drunken Gladness,3
Julia Sutula,Fall Musician,2
Julia Sutula,High Storm,1
Julia Sutula,Holy Sadness Tea,2
Julia Sutula,Infinite Witty Mix,3
Julia Sutula,Legendary Coconut Peanut,1
Julia Sutula,Legendary Ochre Bow,0
Julia Sutula,Lemon Twister,5
Julia Sutula,Modest Sexual Priest,0
Julia Sutula,Philosopher's Halbierd,3
Julia Sutula,Positive Gigolo's Creation,2
Julia Sutula,Raging Dancer,1
Julia Sutula,Raspberry Brew,2
Julia Sutula,Vanilla Tart Autumn,0
Julia Sutula,Vengeance Shake,1
Julia Sutula,Apple Smut,1
Julia Sutula,Astounding Magical Passion,2
Julia Sutula,Astounding Whore's Ecstacy,2
Julia Sutula,Blessed Sweet Jape,4
Julia Sutula,Dutchy Cocktail,0
Julia Sutula,Evil Plum,2
Julia Sutula,Fatal Ruby Plan,5
Julia Sutula,Final Desert Outlaw,3
Julia Sutula,Foul Storm,2
Julia Sutula,Imaginary Thinker,2
Julia Sutula,Infinite Red Herbologist,2
Julia Sutula,Island Rocky,5
Julia Sutula,Marine's Scream,0
Julia Sutula,Orange Lantern,1
Julia Sutula,Plum Blend,5
Julia Sutula,Purple Mansion,1
Julia Sutula,Random Thief's Spring,4
Julia Sutula,Sexual Shake,1
Julia Sutula,Tart Dutchy,4
Julia Sutula,Trader's Kingdom,3
Julia Sutula,Banana Lemon Shot,2
Julia Sutula,Bartender's Autumn,2
Julia Sutula,Coconut Lime Past,5
Julia Sutula,Devilish Insane Snare,0
Julia Sutula,Devilish Murder Order,1
Julia Sutula,Elemental Passionate Moonset,0
Julia Sutula,Final Strength Cocktail,2
Julia Sutula,Foul Twisted Candle,3
Julia Sutula,Godlike Chocolate Moonset,1
Julia Sutula,Godlike Cut Wonder,1
Julia Sutula,Hazelnut Carmel Blend,2
Julia Sutula,Infamous Modest Shot,2
Julia Sutula,Infinite Coral Trap,1
Julia Sutula,Insane Dire Knight,4
Julia Sutula,Insane Hack Spring,2
Julia Sutula,Legendary Tea Shandy,1
Julia Sutula,Nectarine Codex,2
Julia Sutula,Positive Bodyguard's Castle,3
Julia Sutula,Rotten Fall,2
Julia Sutula,Thin Wand,5
Julia Sutula,Amazing Desert Shandy,3
Julia Sutula,Angelic Deep Anvil,5
Julia Sutula,Cocoa Lemon Cocktail,3
Julia Sutula,Demonic Fortune-teller's Oblivion,4
Julia Sutula,Dishonorable Mix,3
Julia Sutula,Far Sailor,3
Julia Sutula,Furious Far,2
Julia Sutula,Furious Tea,2
